transaction_id,source_account_id,destination_account_id,amount,timestamp,transaction_type,is_suspicious,scenario_id
BANK-TXN-00000001,ACCOUNT-CMP-000001,ACCOUNT-000753,100000,2026-08-27T23:00:00Z,UPI,True,MULE_ACCOUNT-0001
BANK-TXN-00000002,ACCOUNT-000753,ACCOUNT-000754,91600,2026-08-27T23:03:00Z,IMPS,True,MULE_ACCOUNT-0001
BANK-TXN-00000003,ACCOUNT-000754,ACCOUNT-000755,45600,2026-08-27T23:06:00Z,NEFT,True,MULE_ACCOUNT-0001
BANK-TXN-00000004,ACCOUNT-000755,ACCOUNT-000756,5600,2026-08-27T23:09:00Z,NEFT,True,MULE_ACCOUNT-0001
BANK-TXN-00000005,ACCOUNT-000756,ACCOUNT-000757,57600,2026-08-27T23:12:00Z,UPI,True,MULE_ACCOUNT-0001
BANK-TXN-00000006,ACCOUNT-000758,ACCOUNT-000759,4100,2026-08-26T23:00:00Z,UPI,True,MULTI_HOP_FUND_FLOW-0002
BANK-TXN-00000007,ACCOUNT-000759,ACCOUNT-000760,5500,2026-08-26T23:03:00Z,UPI,True,MULTI_HOP_FUND_FLOW-0002
BANK-TXN-00000008,ACCOUNT-000760,ACCOUNT-000761,41500,2026-08-26T23:06:00Z,IMPS,True,MULTI_HOP_FUND_FLOW-0002
BANK-TXN-00000009,ACCOUNT-000761,ACCOUNT-000762,100000,2026-08-26T23:09:00Z,NEFT,True,MULTI_HOP_FUND_FLOW-0002
BANK-TXN-00000010,ACCOUNT-000762,ACCOUNT-000763,3400,2026-08-26T23:12:00Z,NEFT,True,MULTI_HOP_FUND_FLOW-0002
BANK-TXN-00000011,ACCOUNT-000765,ACCOUNT-000764,157400,2026-08-25T23:00:00Z,NEFT,True,MANY_TO_ONE-0003
BANK-TXN-00000012,ACCOUNT-000766,ACCOUNT-000764,7000,2026-08-25T23:02:00Z,UPI,True,MANY_TO_ONE-0003
BANK-TXN-00000013,ACCOUNT-000767,ACCOUNT-000764,181500,2026-08-25T23:04:00Z,NEFT,True,MANY_TO_ONE-0003
BANK-TXN-00000014,ACCOUNT-000768,ACCOUNT-000764,92700,2026-08-25T23:06:00Z,NEFT,True,MANY_TO_ONE-0003
BANK-TXN-00000015,ACCOUNT-000769,ACCOUNT-000764,44300,2026-08-25T23:08:00Z,IMPS,True,MANY_TO_ONE-0003
BANK-TXN-00000016,ACCOUNT-000770,ACCOUNT-000771,2800,2026-08-24T23:00:00Z,UPI,True,ONE_TO_MANY-0004
BANK-TXN-00000017,ACCOUNT-000770,ACCOUNT-000772,10700,2026-08-24T23:03:00Z,IMPS,True,ONE_TO_MANY-0004
BANK-TXN-00000018,ACCOUNT-000770,ACCOUNT-000773,24100,2026-08-24T23:06:00Z,NEFT,True,ONE_TO_MANY-0004
BANK-TXN-00000019,ACCOUNT-000770,ACCOUNT-000774,5000,2026-08-24T23:09:00Z,IMPS,True,ONE_TO_MANY-0004
BANK-TXN-00000020,ACCOUNT-000770,ACCOUNT-000775,1800,2026-08-24T23:12:00Z,UPI,True,ONE_TO_MANY-0004
BANK-TXN-00000021,ACCOUNT-000776,ACCOUNT-000777,200,2026-08-23T23:00:00Z,UPI,True,RAPID_TRANSFER-0005
BANK-TXN-00000022,ACCOUNT-000777,ACCOUNT-000778,54700,2026-08-23T23:03:00Z,IMPS,True,RAPID_TRANSFER-0005
BANK-TXN-00000023,ACCOUNT-000778,ACCOUNT-000779,19800,2026-08-23T23:06:00Z,UPI,True,RAPID_TRANSFER-0005
BANK-TXN-00000024,ACCOUNT-000779,ACCOUNT-000780,34900,2026-08-23T23:09:00Z,IMPS,True,RAPID_TRANSFER-0005
BANK-TXN-00000025,ACCOUNT-000780,ACCOUNT-000781,214500,2026-08-23T23:12:00Z,NEFT,True,RAPID_TRANSFER-0005
